# Estimation until Bucharest
Timisoara 329
Lugoj 246
Mahadia 247
Dobreta 242
Craiova 160
Pitesti 98
Rimniscu-Vilcea 93
Sibiu 253
Fagaras 178
Bucharest 0
Giurgiu 77
Uziceni 80
Vaslui 199
Hirsova 157
Eforie 163
Iasi 226
Neamt 236
Arad 366
Zerind 376
Oradea 380
# Origin destination cost
Timisoara Arad 110
Arad Zerind 75
Arad Sibiu 140
Zerind Oradea 71
Oradea Sibiu 151
Timisoara Lugoj 111
Lugoj Mahadia 70
Mahadia Dobreta 75
Dobreta Craiova 120
Craiova Pitesti 138
Craiova Rimniscu-Vilcea 145
Rimniscu-Vilcea Sibiu 80
Rimniscu-Vilcea Pitesti 97
Sibiu Fagaras 99
Fagaras Bucharest 211
Pitesti Bucharest 101
Bucharest Giurgiu 90
Bucharest Uziceni 85
Uziceni Hirsova 98
Uziceni Vaslui 142
Hirsova Eforie 86
Vaslui Iasi 92
Iasi Neamt 87
