# Estimation until Oradea
Timisoara 39
Lugoj 45
Mahadia 56
Dobreta 63
Craiova 70
Pitesti 65
Rimniscu-Vilcea 32
Sibiu 28
Fagaras 48
Bucharest 83
Giurgiu 88
Uziceni 90
Vaslui 90
Hirsova 105
Eforie 115
Iasi 80
Neamt 62
Arad 20
Zerind 10
Oradea 0
# Origin destination cost
Timisoara Arad 110
Arad Zerind 75
Arad Sibiu 140
Zerind Oradea 71
Oradea Sibiu 151
Timisoara Lugoj 111
Lugoj Mahadia 70
Mahadia Dobreta 75
Dobreta Craiova 120
Craiova Pitesti 138
Craiova Rimniscu-Vilcea 145
Rimniscu-Vilcea Sibiu 80
Rimniscu-Vilcea Pitesti 97
Sibiu Fagaras 99
Fagaras Bucharest 211
Pitesti Bucharest 101
Bucharest Giurgiu 90
Bucharest Uziceni 85
Uziceni Hirsova 98
Uziceni Vaslui 142
Hirsova Eforie 86
Vaslui Iasi 92
Iasi Neamt 87
