# TODO: make it realistic
# Estimation until Hirsova
Timisoara 100
Lugoj 83
Mahadia 82
Dobreta 84
Craiova 64
Pitesti 46
Rimniscu-Vilcea 70
Sibiu 76
Fagaras 55
Bucharest 30
Giurgiu 41
Uziceni 18
Vaslui 23
Hirsova 0
Eforie 15
Iasi 40
Neamt 52
Arad 107
Zerind 105
Oradea 150
# Origin destination cost
Timisoara Arad 110
Arad Zerind 75
Arad Sibiu 140
Zerind Oradea 71
Oradea Sibiu 151
Timisoara Lugoj 111
Lugoj Mahadia 70
Mahadia Dobreta 75
Dobreta Craiova 120
Craiova Pitesti 138
Craiova Rimniscu-Vilcea 145
Rimniscu-Vilcea Sibiu 80
Rimniscu-Vilcea Pitesti 97
Sibiu Fagaras 99
Fagaras Bucharest 211
Pitesti Bucharest 101
Bucharest Giurgiu 90
Bucharest Uziceni 85
Uziceni Hirsova 98
Uziceni Vaslui 142
Hirsova Eforie 86
Vaslui Iasi 92
Iasi Neamt 87
